Category: All categories

Week,Apple: (Worldwide)
2014-06-15,26
2014-06-22,26
2014-06-29,27
2014-07-06,27
2014-07-13,27
2014-07-20,29
2014-07-27,29
2014-08-03,28
2014-08-10,29
2014-08-17,30
2014-08-24,31
2014-08-31,34
2014-09-07,100
2014-09-14,53
2014-09-21,49
2014-09-28,40
2014-10-05,37
2014-10-12,43
2014-10-19,41
2014-10-26,37
2014-11-02,36
2014-11-09,34
2014-11-16,34
2014-11-23,39
2014-11-30,35
2014-12-07,35
2014-12-14,35
2014-12-21,39
2014-12-28,35
2015-01-04,32
2015-01-11,31
2015-01-18,30
2015-01-25,30
2015-02-01,30
2015-02-08,29
2015-02-15,29
2015-02-22,29
2015-03-01,30
2015-03-08,52
2015-03-15,34
2015-03-22,30
2015-03-29,31
2015-04-05,36
2015-04-12,33
2015-04-19,34
2015-04-26,34
2015-05-03,30
2015-05-10,29
2015-05-17,30
2015-05-24,30
2015-05-31,31
2015-06-07,36
2015-06-14,31
2015-06-21,34
2015-06-28,38
2015-07-05,35
2015-07-12,34
2015-07-19,34
2015-07-26,31
2015-08-02,33
2015-08-09,33
2015-08-16,32
2015-08-23,33
2015-08-30,33
2015-09-06,64
2015-09-13,42
2015-09-20,43
2015-09-27,40
2015-10-04,37
2015-10-11,37
2015-10-18,35
2015-10-25,37
2015-11-01,35
2015-11-08,36
2015-11-15,35
2015-11-22,39
2015-11-29,36
2015-12-06,38
2015-12-13,36
2015-12-20,43
2015-12-27,39
2016-01-03,33
2016-01-10,31
2016-01-17,30
2016-01-24,31
2016-01-31,30
2016-02-07,30
2016-02-14,31
2016-02-21,30
2016-02-28,30
2016-03-06,29
2016-03-13,28
2016-03-20,45
2016-03-27,34
2016-04-03,31
2016-04-10,29
2016-04-17,28
2016-04-24,31
2016-05-01,29
2016-05-08,29
2016-05-15,29
2016-05-22,28
2016-05-29,28
2016-06-05,27
2016-06-12,32
2016-06-19,28
2016-06-26,28
2016-07-03,29
2016-07-10,31
2016-07-17,29
2016-07-24,30
2016-07-31,29
2016-08-07,28
2016-08-14,28
2016-08-21,30
2016-08-28,33
2016-09-04,67
2016-09-11,47
2016-09-18,43
2016-09-25,40
2016-10-02,37
2016-10-09,37
2016-10-16,35
2016-10-23,41
2016-10-30,36
2016-11-06,33
2016-11-13,35
2016-11-20,43
2016-11-27,38
2016-12-04,35
2016-12-11,36
2016-12-18,40
2016-12-25,42
2017-01-01,35
2017-01-08,32
2017-01-15,31
2017-01-22,31
2017-01-29,31
2017-02-05,31
2017-02-12,29
2017-02-19,29
2017-02-26,30
2017-03-05,29
2017-03-12,28
2017-03-19,32
2017-03-26,32
2017-04-02,30
2017-04-09,30
2017-04-16,29
2017-04-23,28
2017-04-30,29
2017-05-07,29
2017-05-14,29
2017-05-21,28
2017-05-28,29
2017-06-04,36
2017-06-11,31
2017-06-18,30
2017-06-25,31
2017-07-02,30
2017-07-09,30
2017-07-16,30
2017-07-23,32
2017-07-30,32
2017-08-06,31
2017-08-13,31
2017-08-20,32
2017-08-27,32
2017-09-03,32
2017-09-10,69
2017-09-17,44
2017-09-24,40
2017-10-01,37
2017-10-08,35
2017-10-15,35
2017-10-22,38
2017-10-29,40
2017-11-05,40
2017-11-12,39
2017-11-19,44
2017-11-26,41
2017-12-03,40
2017-12-10,38
2017-12-17,42
2017-12-24,51
2017-12-31,41
2018-01-07,37
2018-01-14,34
2018-01-21,34
2018-01-28,34
2018-02-04,32
2018-02-11,33
2018-02-18,32
2018-02-25,32
2018-03-04,31
2018-03-11,31
2018-03-18,30
2018-03-25,34
2018-04-01,31
